name_nsi,price,index,environment,quality_of_living,safety,transport,services,relax,condition,area,energy_costs,provision,certificate,construction_type,orientation,year_built,last_reconstruction,total_floors,floor,lift,balkonies,loggia,cellar,type,rooms,district
Semerovo,42000,NA,NA,NA,NA,NA,NA,NA,Original condition,58,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,
Semerovo,42000,NA,NA,NA,NA,NA,NA,NA,Original condition,58,NA,0,none,Brick,NA,NA,NA,2,NA,0,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,107000,8,,,,,,,,,,,,,,,,,,,,,,,,
Semerovo,105000,NA,NA,NA,NA,NA,NA,NA,Complete reconstruction,76,200,1,C,NA,NA,NA,NA,7,4,1,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,82000,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,63,NA,0,NA,NA,NA,NA,2018,NA,2,0,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,102000,NA,NA,NA,NA,NA,NA,NA,Complete reconstruction,76,,,,,,,,,,,,,,,,
Semerovo,129000,8,,,,,,,,,,,,,,,,,,,,,,,,
Semerovo,95000,NA,NA,NA,NA,NA,NA,NA,Complete reconstruction,63,120,1,none,NA,NA,NA,NA,NA,NA,0,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,82000,NA,NA,NA,NA,NA,NA,NA,Original condition,63,,,,,,,,,,,,,,,,
Semerovo,74900,NA,NA,NA,NA,NA,NA,NA,Original condition,64,NA,1,NA,NA,NA,NA,NA,12,3,1,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,64900,NA,NA,NA,NA,NA,NA,NA,Original condition,57,NA,0,none,Panel,NA,NA,NA,NA,7,1,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,83000,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,63,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,96500,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,78,NA,0,NA,NA,NA,NA,NA,7,NA,1,NA,1,0,3-room apartment,3,Novac Za°mky
Semerovo,82900,NA,NA,NA,NA,NA,NA,NA,Original condition,62,NA,0,NA,NA,NA,NA,NA,7,2,1,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,67000,NA,NA,NA,NA,NA,NA,NA,Original condition,57,NA,0,none,Panel,NA,NA,NA,NA,NA,1,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,48000,NA,NA,NA,NA,NA,NA,NA,Original condition,20,NA,0,none,NA,NA,1970,NA,7,1,0,NA,NA,0,1-room apartment,1,Novac Za°mky
Semerovo,79900,NA,NA,NA,NA,NA,NA,NA,Original condition,70,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,65500,NA,NA,NA,NA,NA,NA,NA,Original condition,58,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,109000,NA,NA,NA,NA,NA,NA,NA,Complete reconstruction,73,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,68000,NA,NA,NA,NA,NA,NA,NA,Original condition,63,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,94000,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,78,,,,,,,,,,,,,,,,
Semerovo,74990,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,58,NA,0,NA,NA,NA,NA,NA,7,1,1,NA,NA,0,2-room apartment,2,Novac Za°mky
Semerovo,88500,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,59,NA,0,NA,NA,NA,NA,NA,7,7,1,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,92500,NA,NA,NA,NA,NA,NA,NA,Complete reconstruction,84,NA,0,none,NA,NA,1960,NA,1,1,0,NA,NA,0,4-room apartment,4,Novac Za°mky
Semerovo,85000,NA,NA,NA,NA,NA,NA,NA,Partial reconstruction,81,NA,0,none,NA,NA,NA,NA,4,1,0,NA,NA,0,3-room apartment,3,Novac Za°mky
Semerovo,90459,NA,NA,NA,NA,NA,NA,NA,Complete reconstruction,64,NA,0,NA,Brick,NA,NA,NA,NA,NA,0,1,NA,0,3-room apartment,3,Novac Za°mky
